scored mountain-days: 1140, changed: 144
name day score_0.1 score_0.5 wet_0.1 wet_0.5 | hours 0.1-0.4 / >=0.5 (whole day, MSM) | max mm/h | day sum mm
硫黄岳          2026-09-21    0.0 ->    0.0  92.3(12.9/14h M11 確3 湿3) 32.5mm -> 92.3(12.9/14h M11 確3 湿5) 32.5mm |  2 / 11 | 16.5 | 93.5
東天狗岳         2026-09-19   45.7 ->   45.7  57.1(8/14h M 湿2) 4.0mm -> 57.1(8/14h M 湿3) 4.0mm |  2 /  6 | 1.0 | 4.6
東天狗岳         2026-09-21    0.0 ->    0.0  92.3(12.9/14h M11 確3 湿3) 32.5mm -> 92.3(12.9/14h M11 確3 湿5) 32.5mm |  2 / 11 | 16.5 | 93.5
権現岳          2026-09-19   44.9 ->   44.9  57.1(8/14h M 湿3) 2.2mm -> 57.1(8/14h M 湿5) 2.2mm |  3 /  3 | 0.8 | 2.5
権現岳          2026-09-21   35.6 ->   35.6  78.0(10.9/14h M11 確3 湿2) 17.3mm -> 78.0(10.9/14h M11 確3 湿3) 17.3mm |  1 / 11 | 10.6 | 59.3
編笠山          2026-09-19   43.0 ->   43.0  57.1(8/14h M 湿3) 2.2mm -> 57.1(8/14h M 湿5) 2.2mm |  3 /  3 | 0.8 | 2.5
編笠山          2026-09-21   34.8 ->   34.8  85.1(11.9/14h M11 確3 湿3) 17.3mm -> 85.1(11.9/14h M11 確3 湿4) 17.3mm |  1 / 11 | 10.6 | 59.3
木曽駒ヶ岳        2026-09-19   61.5 ->   61.5  35.7(5/14h M 湿2) 0.6mm -> 35.7(5/14h M 湿5) 0.6mm |  4 /  0 | 0.3 | 0.7
木曽駒ヶ岳        2026-09-21   24.7 ->   24.7  87.4(12.2/14h M11 確3 湿6) 18.6mm -> 80.2(11.2/14h M11 確3 湿7) 18.6mm |  2 /  8 | 16.4 | 74.6
宝剣岳          2026-09-19   61.9 ->   61.9  35.7(5/14h M 湿2) 0.6mm -> 35.7(5/14h M 湿5) 0.6mm |  4 /  0 | 0.3 | 0.7
宝剣岳          2026-09-21   24.6 ->   24.6  87.4(12.2/14h M11 確3 湿6) 18.6mm -> 87.4(12.2/14h M11 確3 湿8) 18.6mm |  2 /  8 | 16.4 | 74.6
三ノ沢岳         2026-09-19   62.9 ->   62.9  35.7(5/14h M 湿2) 1.5mm -> 35.7(5/14h M 湿3) 1.5mm |  2 /  2 | 0.6 | 1.6
三ノ沢岳         2026-09-21   32.8 ->   32.8  87.4(12.2/14h M11 確3 湿7) 16.5mm -> 87.4(12.2/14h M11 確3 湿8) 16.5mm |  1 /  8 | 15.5 | 73.7
空木岳          2026-09-20    0.0 ->    0.0  100.0(14/14h M) 29.7mm -> 100.0(14/14h M 湿1) 29.7mm |  2 / 18 | 5.3 | 47.4
富士山(剣ヶ峰)     2026-09-21    0.0 ->    0.0  47.6(6.7/14h M11 確3) 28.9mm -> 40.4(5.7/14h M11 確3) 28.9mm |  1 /  9 | 45.8 | 212.0
天上山(カチカチ山)   2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿9) 1.9mm -> 100.0(14/14h M 湿12) 1.9mm |  5 /  4 | 0.8 | 3.6
天上山(カチカチ山)   2026-09-21   43.3 ->   43.3  48.1(6.7/14h M11 確3) 16.1mm -> 33.8(4.7/14h M11 確3) 16.1mm |  2 /  8 | 35.5 | 149.3
三ツ峠山(開運山)    2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿8) 2.5mm -> 100.0(14/14h M 湿11) 2.5mm |  5 /  6 | 1.0 | 4.9
三ツ峠山(開運山)    2026-09-21   14.8 ->   14.8  48.1(6.7/14h M11 確3) 19.5mm -> 40.9(5.7/14h M11 確3 湿1) 19.5mm |  2 /  8 | 36.5 | 159.0
黒岳(御坂山地)     2026-09-21   40.7 ->   40.7  48.1(6.7/14h M11 確3) 16.0mm -> 40.9(5.7/14h M11 確3 湿1) 16.0mm |  2 /  8 | 33.7 | 148.3
石割山          2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿8) 1.8mm -> 100.0(14/14h M 湿13) 1.8mm |  6 /  4 | 1.2 | 5.8
石割山          2026-09-21    0.0 ->    0.0  49.4(6.9/14h M11 確3) 24.4mm -> 42.3(5.9/14h M11 確3) 24.4mm |  1 /  9 | 45.8 | 192.5
鉄砲木ノ頭(明神山)   2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿8) 2.0mm -> 100.0(14/14h M 湿12) 2.0mm |  6 /  4 | 1.0 | 4.3
鉄砲木ノ頭(明神山)   2026-09-21   16.8 ->   16.8  49.4(6.9/14h M11 確3) 19.4mm -> 42.3(5.9/14h M11 確3) 19.4mm |  1 /  9 | 41.3 | 185.1
杓子山          2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿8) 1.8mm -> 100.0(14/14h M 湿13) 1.8mm |  6 /  4 | 1.2 | 5.8
杓子山          2026-09-21    0.0 ->    0.0  48.1(6.7/14h M11 確3) 24.4mm -> 40.9(5.7/14h M11 確3) 24.4mm |  1 /  9 | 45.8 | 192.5
竜ヶ岳(本栖湖)     2026-09-21    0.0 ->    0.0  48.1(6.7/14h M11 確3) 25.3mm -> 48.1(6.7/14h M11 確3 湿1) 25.3mm |  1 /  9 | 24.1 | 119.9
毛無山(天子山地)    2026-09-19   61.6 ->   61.6  42.9(6/14h M 湿3) 2.1mm -> 42.9(6/14h M 湿5) 2.1mm |  3 /  1 | 1.4 | 2.2
毛無山(天子山地)    2026-09-21    0.0 ->    0.0  48.6(6.8/14h M11 確3) 23.7mm -> 41.5(5.8/14h M11 確3) 23.7mm |  1 /  9 | 20.9 | 106.7
越前岳          2026-09-21   33.1 ->   33.1  47.6(6.7/14h M11 確3) 17.8mm -> 40.4(5.7/14h M11 確3) 17.8mm |  1 /  9 | 36.2 | 154.9
塔ノ岳          2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿7) 3.1mm -> 100.0(14/14h M 湿10) 3.1mm |  5 /  6 | 0.7 | 4.8
塔ノ岳          2026-09-21    0.0 ->    0.0  64.1(9/14h M11 確3 湿1) 81.1mm -> 56.9(8/14h M11 確3 湿1) 81.1mm |  1 / 10 | 57.3 | 314.1
丹沢山          2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿5) 4.5mm -> 100.0(14/14h M 湿9) 4.5mm |  8 /  9 | 1.5 | 9.8
蛭ヶ岳          2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿5) 4.5mm -> 100.0(14/14h M 湿9) 4.5mm |  8 /  9 | 1.5 | 9.8
檜洞丸          2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿5) 4.5mm -> 100.0(14/14h M 湿9) 4.5mm |  8 /  9 | 1.5 | 9.8
鍋割山          2026-09-21    0.0 ->    0.0  56.9(8/14h M11 確3) 81.1mm -> 49.8(7/14h M11 確3) 81.1mm |  1 / 10 | 57.3 | 314.1
大山(伊勢原)      2026-09-21    0.0 ->    0.0  56.9(8/14h M11 確3) 83.7mm -> 49.8(7/14h M11 確3) 83.7mm |  1 / 10 | 60.9 | 324.1
雲取山          2026-09-19   10.4 ->   10.4  92.9(13/14h M 湿9) 2.6mm -> 92.9(13/14h M 湿11) 2.6mm |  4 /  2 | 1.4 | 3.1
雲取山          2026-09-21    0.0 ->    0.0  77.9(10.9/14h M11 確3 湿2) 120.9mm -> 77.9(10.9/14h M11 確3 湿3) 120.9mm |  1 / 11 | 48.8 | 337.7
高尾山          2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿6) 2.1mm -> 100.0(14/14h M 湿12) 2.1mm | 13 /  3 | 0.5 | 4.3
高尾山          2026-09-21    0.0 ->    0.0  56.9(8/14h M11 確3) 75.8mm -> 49.7(7/14h M11 確3) 75.8mm |  1 / 10 | 50.4 | 247.7
陣馬山          2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿7) 1.8mm -> 100.0(14/14h M 湿13) 1.8mm | 10 /  4 | 0.7 | 4.2
陣馬山          2026-09-21    0.0 ->    0.0  56.9(8/14h M11 確3) 78.3mm -> 49.7(7/14h M11 確3) 78.3mm |  1 / 10 | 52.9 | 263.9
御岳山          2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿10) 1.1mm -> 100.0(14/14h M 湿13) 1.1mm |  6 /  3 | 0.7 | 2.7
御岳山          2026-09-21    0.0 ->    0.0  63.6(8.9/14h M11 確3) 106.0mm -> 56.5(7.9/14h M11 確3) 106.0mm |  1 / 11 | 50.0 | 307.3
棒ノ折山(棒ノ嶺)    2026-09-19    0.0 ->    0.0  100.0(14/14h M 湿9) 1.4mm -> 100.0(14/14h M 湿13) 1.4mm |  6 /  2 | 0.9 | 2.6
棒ノ折山(棒ノ嶺)    2026-09-21    0.0 ->    0.0  70.8(9.9/14h M11 確3) 118.0mm -> 56.5(7.9/14h M11 確3) 118.0mm |  2 / 11 | 52.9 | 329.1
笠取山          2026-09-19   12.6 ->   12.6  92.9(13/14h M 湿9) 2.9mm -> 92.9(13/14h M 湿10) 2.9mm |  3 /  3 | 1.2 | 3.1
笠取山          2026-09-21    0.0 ->    0.0  76.9(10.8/14h M11 確3 湿2) 88.4mm -> 76.9(10.8/14h M11 確3 湿3) 88.4mm |  1 / 11 | 35.5 | 251.4
燧ヶ岳          2026-09-19   70.9 ->   70.9  28.6(4/14h M 湿1) 1.4mm -> 28.6(4/14h M 湿2) 1.4mm |  2 /  3 | 1.3 | 3.0
燕岳           2026-09-20    0.0 ->    0.0  100.0(14/14h M 湿4) 13.0mm -> 100.0(14/14h M 湿7) 13.0mm |  3 / 12 | 3.3 | 22.7
燕岳           2026-09-21    0.0 ->    0.0  90.1(12.6/14h M11 確3 湿1) 22.1mm -> 90.1(12.6/14h M11 確3 湿7) 22.1mm |  6 /  9 | 11.3 | 56.2
槍ヶ岳          2026-09-21   26.9 ->   26.9  88.8(12.4/14h M11 確3 湿1) 17.2mm -> 88.8(12.4/14h M11 確3 湿7) 17.2mm |  6 /  9 | 9.8 | 44.0
常念岳          2026-09-20   23.2 ->   23.2  92.9(13/14h M 湿2) 16.0mm -> 92.9(13/14h M 湿3) 16.0mm |  1 / 15 | 3.3 | 25.5
常念岳          2026-09-21    0.0 ->    0.0  67.4(9.4/14h M11 確3 湿3) 22.7mm -> 67.4(9.4/14h M11 確3 湿4) 22.7mm |  1 /  9 | 11.0 | 57.4
